"link_link__eO8iL","link_link__eO8iL href","icon_image-icon__8UXqV src","brandGroup_name__DNvcT","brandGroup_ticker__DDHxA","price","row-24-price-change","rt-td","link_link__eO8iL 2","link_link__eO8iL 3","link_link__eO8iL 4","link_link__eO8iL 5"
"34","https://www.stakingrewards.com/earn/thorchain/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Thorchain","RUNE","$1.39","-2.8%","22.79%","17.58%","$167,213,665","$417,448,328","40.01%"
"35","https://www.stakingrewards.com/earn/stacks/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Stacks","STX","$0.27","3.22%","7.67%","7.63%","$140,147,556","$363,494,843","38.33%"
"36","https://www.stakingrewards.com/earn/radix/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Radix","XRD","$0.04","-8.22%","10.91%","7.77%","$138,619,308","$427,540,250","26.18%"
"37","https://www.stakingrewards.com/earn/zilliqa/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Zilliqa","ZIL","$0.02","-1.2%","11.1%","6.87%","$125,368,108","$373,975,404","33.52%"
"38","https://www.stakingrewards.com/earn/chain/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Chain","XCN","$0.04","2.5%","13.09%","10.98%","$122,264,688","$841,235,284","14.52%"
"39","https://www.stakingrewards.com/earn/secret-network/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Secret Network","SCRT","$0.79","0.13%","26.7%","9.48%","$113,125,349","$148,726,513","59.79%"
"140","https://www.stakingrewards.com/earn/decentraland/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F04%2Fmana.png&w=64&q=75","Decentraland","MANA","$0.4","-1.47%","0.65%","0.65%","unknown","$722,622,461","N/A"
"141","https://www.stakingrewards.com/earn/kucoin-shares/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2019%2F08%2FKCS.png&w=64&q=75","KuCoin Shares","KCS","$6.57","-0.15%","6.08%","6.08%","unknown","$642,132,937","N/A"
"142","https://www.stakingrewards.com/earn/aptos/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F10%2F0_Dt8IS-kz8OjSCvPJ.png&w=64&q=75","Aptos","APT","$4.8","-2.83%","0%","0%","unknown","$623,349,628","N/A"
"143","https://www.stakingrewards.com/earn/makerdao/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F02%2Fmakerdao.jpg&w=64&q=75","MakerDAO","MKR","$611.53","-2.27%","0%","-2,604,771,386.88%","unknown","$551,511,524","N/A"
"144","https://www.stakingrewards.com/earn/neo/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/neo.svg","Neo","NEO","$7.01","-0.99%","3.06%","3.06%","unknown","$494,621,789","N/A"
"145","https://www.stakingrewards.com/earn/ethereum/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F08%2FEthereum-e1629812345128.jpg&w=64&q=75","Ethereum PoW","ETHW","$3.63","-2.16%","3.51%","3.51%","unknown","$389,828,933","N/A"
"146","https://www.stakingrewards.com/earn/nexo/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Nexo","NEXO","$0.67","-0.8%","4.8%","4.8%","unknown","$373,589,617","N/A"
"147","https://www.stakingrewards.com/earn/basic-attention-token/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Basic Attention Token","BAT","$0.22","-1.32%","0.92%","0.92%","unknown","$335,426,438","N/A"
"148","https://www.stakingrewards.com/earn/gnosis/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Gnosis","GNO","$90.04","-2.79%","0%","0%","unknown","$233,190,247","N/A"
"149","https://www.stakingrewards.com/earn/moonbeam/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Moonbeam","GLMR","$0.41","-5.34%","0%","0%","unknown","$189,040,573","N/A"
"150","https://www.stakingrewards.com/earn/omisego/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","OmiseGo","OMG","$1.16","-1.69%","1.15%","1.15%","unknown","$163,403,535","N/A"
"150","https://www.stakingrewards.com/earn/euro-tether/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Euro Tether","EURT","$1.05","0.19%","N/A","0%","unknown","$216,841,628","N/A"
"151","https://www.stakingrewards.com/earn/acala/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Acala","ACA","$0.13","-3.05%","N/A","0%","unknown","$73,134,169","N/A"
"152","https://www.stakingrewards.com/earn/stargate-finance/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Stargate Finance","STG","$0.41","-0.4%","N/A","0%","unknown","$56,092,905","N/A"
"153","https://www.stakingrewards.com/earn/aurora-near/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Aurora","AURORA","$0.32","1.59%","0%","0%","unknown","$36,458,828","N/A"
"154","https://www.stakingrewards.com/earn/ref-finance/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Ref Finance","REF","$0.12","-0.87%","0%","0%","unknown","$2,663,856","N/A"
"155","https://www.stakingrewards.com/earn/nearpad/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","NearPad","PAD","$0.02","-0.58%","0%","0%","unknown","$192,367","N/A"
"156","https://www.stakingrewards.com/earn/meta-pool/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Meta Pool","META","$0","-1.6%","0%","0%","unknown","0","N/A"
"174","https://www.stakingrewards.com/earn/dai/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Dai","DAI","$1","0.02%","4.94%","4.94%","$772,693,482","$5,179,094,635","N/A"
"175","https://www.stakingrewards.com/earn/neutrino/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","USDN","USDN","$0.85","-8.6%","2.47%","2.06%","$338,861","$84,059,742","96.66%"
