serial,token_name,token,price_usd,24hr_price_prc_change,reward_prc,adj_reward_prc,staking_market_cap_usd,market_cap_usd,staking_ratio
54,Hive,HIVE,0.3500,0.0072,0.0301,-0.0371,58508649.0000,131302471.00,0.7213
55,Illuvium,ILV,47.2500,0.0656,0.0000,-0.1094,57854642.0000,83962885.00,0.1645
56,NEM,XEM,0.0300,0.0124,0.0973,0.0911,57574908.0000,300495381.00,0.0019
57,Waves,WAVES,2.0800,-0.0280,0.1206,0.0894,54629795.0000,208947308.00,0.2386
58,Lisk,LSK,0.8100,0.0079,0.0000,0.0000,50836490.0000,117489631.00,0.4354
59,Injective,INJ,1.6400,0.0000,0.1520,0.0608,47399656.0000,127610963.00,0.5414
60,SwissBorg,CHSB,0.2400,0.0022,0.1481,0.1155,46353639.0000,223972582.00,0.1975
61,DAO Maker,DAO,0.8900,0.0151,0.0951,0.0951,46326404.0000,112271877.00,0.4131
62,Audius,AUDIO,0.1500,-0.0161,0.2355,0.1500,42454639.0000,142040862.00,0.2450
63,Ontology,ONT,0.1800,-0.0054,0.1933,0.1933,41853022.0000,157262754.00,0.2657
64,IOST,IOST,0.0100,-0.0020,0.0877,0.0459,41783176.0000,201228392.00,0.2280
65,Cartesi,CTSI,0.1300,0.1020,0.1817,0.0960,37298504.0000,84950924.00,0.4355
66,Horizen,ZEN,10.0900,-0.0146,0.0842,0.0734,35594095.0000,132459691.00,0.2682
67,Divi,DIVI,0.0100,-0.0812,0.1940,0.0380,33596968.0000,46325584.00,0.7275
68,Akash,AKT,0.2100,-0.0404,0.1269,0.0253,32873594.0000,42019087.00,0.7436
69,SysCoin,SYS,0.1200,0.0022,0.0593,-0.6570,30100045.0000,80676427.00,0.3522
70,Canto,CANTO,0.1500,-0.0061,0.2615,-0.2915,29349939.0000,53721093.00,0.1925
71,Stratis,STRAX,0.4800,0.0097,0.1865,0.0908,28969380.0000,68893479.00,0.4212
72,Tezos,XTZ,0.9900,-0.0179,0.0516,0.0498,28390235.0000,902484016.00,0.0305
73,COTI,COTI,0.0700,-0.0087,0.4829,0.2500,26525684.0000,78596741.00,0.0035
74,Kyber Network,KNC,0.6300,-0.0116,0.0246,0.0246,26006172.0000,103356555.00,0.2512
75,Orbs,ORBS,0.0300,0.0236,0.0667,0.0663,24252324.0000,74576322.00,0.3223
76,Regen Network,REGEN,0.1900,-0.0119,0.2616,0.0433,21166633.0000,27929190.00,0.7563
77,Celo,CELO,0.6000,-0.0130,0.0442,0.0416,18170118.0000,284820427.00,0.0566
78,Hydra,HYDRA,1.4500,-0.0461,0.4771,0.2213,17781661.0000,21787107.00,0.4391
79,Umee,UMEE,0.0100,0.0381,0.2935,-0.3217,27502036.0000,15030080.00,1.8346
80,Ardor,ARDR,0.0800,-0.0043,0.0005,0.0005,14906849.0000,77214626.00,0.1929
81,Qtum,QTUM,2.1700,0.0000,0.1744,0.1637,14329839.0000,226636976.00,0.0689
82,Idex,IDEX,0.0500,-0.0010,0.2201,0.2201,13927570.0000,32942185.00,0.4226
83,DODO,DODO,0.1200,-0.0071,0.7920,0.6646,13525452.0000,51900199.00,0.2658
84,IRISnet,IRIS,0.0200,0.0141,0.0662,0.0354,12751445.0000,21932114.00,0.3975
85,Ark,ARK,0.2600,0.0169,0.1607,0.1100,12090506.0000,44479357.00,0.2564
86,Everscale,EVER,0.0400,-0.0050,0.1002,0.0693,10435670.0000,61224034.00,0.1416
87,1inch,1INCH,0.4400,-0.0013,0.0000,0.0000,9760336.0000,337233457.00,0.0154
88,Phantasma,SOUL,0.1500,0.0133,0.0577,0.0577,8748394.0000,16205640.00,0.5395
89,0x,ZRX,0.1900,-0.0009,0.0000,0.0000,8714321.0000,160985597.00,0.0541
90,Stafi Protocol,FIS,0.3000,-0.0056,0.1804,0.1261,8658791.0000,16925891.00,0.2320
91,Comdex,CMDX,0.1400,-0.0813,0.3447,0.0774,13540635.0000,8175438.00,0.7065
92,cheqd,CHEQ,0.0400,0.1213,0.1503,0.0777,16262125.0000,7640827.00,0.4212
93,Firo,FIRO,1.8900,0.0216,0.2337,0.0744,7185780.0000,22327215.00,0.2158
94,Fuse,FUSE,0.0700,0.0019,0.1337,0.1331,6755666.0000,13491454.00,0.5000
95,Decimal,DEL,0.0300,-0.0247,1.1007,-0.0016,70019603.0000,6573019.00,0.9298
96,PIVX,PIVX,0.2600,0.0078,0.0888,0.0807,6430584.0000,18529588.00,0.3845
97,TomoChain,TOMO,0.3100,-0.0106,0.1127,0.1127,6092242.0000,28170272.00,0.1943
98,Energi,NRG,0.2200,0.0913,0.1523,0.1077,6085006.0000,13151931.00,0.4635
99,AssetMantle,MNTL,0.0200,-0.0091,1.1612,0.3800,5942705.0000,6096490.00,0.6147
120,Stake DAO,SDT,0.3100,-0.0034,0.0000,0.0000,1178754.0000,13054123.00,0.0903
121,Sifchain,ROWAN,0.0000,0.1560,0.1624,-0.1584,983255.0000,2185657.00,0.3621
122,InsurAce,INSUR,0.0800,-0.0068,0.0403,-0.3332,943426.0000,4724885.00,0.1999
123,ChangeX,CHANGE,0.0100,-0.0468,0.5447,0.0000,860774.0000,1317720.00,0.6520
124,Edgeware,EDG,0.0000,-0.0116,0.1937,0.1402,732686.0000,3282239.00,0.2145
125,NXT,NXT,0.0000,-0.0010,0.0149,0.0149,439223.0000,2711324.00,0.0868
126,Akropolis,AKRO,0.0000,-0.0308,0.1299,0.1183,1182191.0000,294459.00,0.0803
127,MANTRA,OM,0.0300,0.0142,0.1748,0.1733,259209.0000,19664923.00,0.0338
128,Terra Classic,LUNC,0.0000,-0.0256,0.3780,-0.9997,107560.0000,10156102.00,0.0106
129,Voltage Finance,VOLT,0.0000,-0.0083,0.0605,-0.0912,97074.0000,272150.00,0.0589
130,xDai,STAKE,0.6600,-0.1338,0.0793,0.0772,75883.0000,1212259.00,0.0137
131,PackagePortal,PORT,0.0700,-0.0696,0.2387,0.1720,73586.0000,247336.00,0.2972
132,Ampleforth,AMPL,1.9300,0.1353,0.0000,0.0000,54624.0000,61789011.00,0.0002
133,Bitcoin,BTC,17154.5000,-0.0078,0.0302,0.0302,unknown,329903167295.00,N/A
134,Ripple,XRP,0.3900,-0.0110,0.0303,0.0303,unknown,19609599147.00,N/A
135,Litecoin,LTC,76.4500,-0.0129,0.0354,0.0354,unknown,5488687671.00,N/A
136,Chainlink,LINK,6.8600,-0.0256,0.0700,0.0000,unknown,3374105168.00,N/A
137,Stellar,XLM,0.0900,-0.0073,N/A,0.0000,unknown,2190900602.00,N/A
138,ApeCoin,APE,3.9900,0.0101,0.0000,0.0000,unknown,1443272033.00,N/A
139,VeChain,VET,0.0200,-0.0037,0.0087,0.0087,unknown,1382431888.00,N/A
140,Decentraland,MANA,0.4000,-0.0148,0.0065,0.0065,unknown,722618125.00,N/A
141,KuCoin Shares,KCS,6.6000,0.0030,0.0608,0.0608,unknown,643101398.00,N/A
142,Aptos,APT,4.8000,-0.0283,0.0000,0.0000,unknown,624659969.00,N/A
143,MakerDAO,MKR,611.7900,-0.0223,0.0000,-26047713.8688,unknown,551611873.00,N/A
144,Neo,NEO,7.0200,-0.0085,0.0306,0.0306,unknown,495510300.00,N/A
145,Ethereum PoW,ETHW,3.6400,-0.0189,0.0351,0.0351,unknown,391551316.00,N/A
146,Nexo,NEXO,0.6700,-0.0085,0.0480,0.0480,unknown,373441697.00,N/A
147,Basic Attention Token,BAT,0.2300,-0.0122,0.0092,0.0092,unknown,335806938.00,N/A
148,Gnosis,GNO,90.1700,-0.0265,0.0000,0.0000,unknown,233522116.00,N/A
149,Moonbeam,GLMR,0.4100,-0.0528,0.0000,0.0000,unknown,189089912.00,N/A
150,OmiseGo,OMG,1.1700,-0.0085,0.0115,0.0115,unknown,163615524.00,N/A
150,Euro Tether,EURT,1.0500,0.0038,N/A,0.0000,unknown,216868619.00,N/A
151,Acala,ACA,0.1300,-0.0245,N/A,0.0000,unknown,73587550.00,N/A
152,Stargate Finance,STG,0.4100,-0.0029,N/A,0.0000,unknown,56217426.00,N/A
153,Aurora,AURORA,0.3300,0.0209,0.0000,0.0000,unknown,36464741.00,N/A
154,Ref Finance,REF,0.1200,-0.0122,0.0000,0.0000,unknown,2655699.00,N/A
155,NearPad,PAD,0.0200,-0.0056,0.0000,0.0000,unknown,192540.00,N/A
156,Meta Pool,META,0.0000,-0.0159,0.0000,0.0000,unknown,0.00,N/A
174,Dai,DAI,1.0000,0.0002,0.0494,0.0494,772693482.0000,5177120440.00,N/A
175,USDN,USDN,0.8500,-0.0841,0.0247,0.0206,338861.0000,84198031.00,0.9666
176,USD Coin,USDC,1.0000,-0.0029,0.0535,0.0535,1924139147.0000,42810646040.00,N/A
178,Tether,USDT,1.0000,0.0015,0.0663,0.0663,746334604.0000,65746279691.00,N/A
179,TrueUSD,TUSD,1.0000,-0.0008,0.0426,0.0426,147712287.0000,757545317.00,N/A
180,sUSD,SUSD,1.0100,-0.0020,0.0048,0.0048,29777701.0000,50032799.00,N/A
182,Binance USD,BUSD,1.0000,-0.0031,0.0454,0.0454,47033480.0000,22100240470.00,N/A
184,Gemini Dollar,GUSD,1.0000,-0.0040,0.0000,0.0000,unknown,595336064.00,N/A
191,TerraClassicUSD,USTC,0.0200,-0.0583,0.1507,0.1507,12961610.0000,226674353.00,N/A
