serial,token,transfer_volume,transfer_amount,unique_sender,unique_receiver,transfer_count,serial,token,transfer_volume,transfer_amount,unique_sender,unique_receiver,transfer_count
91,Prometeus (PROM),"$408,403,657.80 ","76,366,835.82 PROM","62,827","20,913",97416,,,,,,,
,1INCH Token (1INCH),"$388,932,810.53 ",,,,,92,"875,430,611.90 1INCH","489,029","359,300",1848952,,
93,QANX Token (QANX),"$365,877,745.60 ","64,939,297,960.21 QANX","149,469","98,364",444127,,,,,,,
,Binance-Peg Band Protocol Token (BAND),"$361,949,475.55 ",,,,,94,"177,091,396.55 BAND","69,415","58,535",398461,,
95,Ellipsis (EPS),"$355,728,892.04 ","11,125,953,645.23 EPS","630,182","562,234",2853824,,,,,,,
,Chess (CHESS),"$355,614,250.13 ",,,,,96,"1,684,449,544.93 CHESS","218,154","183,871",714249,,
97,Reef.finance (REEF),"$353,624,577.93 ","116,903,384,390.92 REEF","442,201","289,298",1279025,,,,,,,
,Linear Token (LINA),"$350,811,964.86 ",,,,,98,"56,043,383,393.66 LINA","194,562","168,709",928691,,
99,Frax (FRAX),"$347,493,318.95 ","347,146,172.78 FRAX","10,525","10,179",51313,,,,,,,
,Binance-Peg NEAR Protocol (NEAR),"$333,792,256.50 ",,,,,100,"196,186,748.19 NEAR","163,526","106,084",835933,,
99,Frax (FRAX),"$347,493,318.95 ","347,146,172.78 FRAX","10,525","10,179",,,,,,,,
