odd,u-xs-avatar src,text-primary,text-primary href,sorting_1,odd 2,odd 3,odd 4,odd 5,even,even 2,even 3,even 4,even 5
47,https://bscscan.com/token/images/uniswap_32.png,Binance-Peg Uniswap (UNI),https://bscscan.com/token/0xbf5140a22578168fd562dccf235e5d43a02ce9b1,"$1,934,673,796.25 ","315,312,520.09 UNI","355,859","221,141",1721274,,,,,
,https://bscscan.com/token/images/beefy_32.png?=v1,beefy.finance (BIFI),https://bscscan.com/token/0xca3f508b8e4dd382ee878a314789373d80a5190a,"$1,807,355,174.13 ",,,,,48,"4,985,532.31 BIFI","239,529","207,428",1641893
49,https://bscscan.com/token/images/mdex_32.png,MDX Token (MDX),https://bscscan.com/token/0x9c65ab58d8d978db963e63f2bfb7121627e3a739,"$1,659,208,526.86 ","18,448,318,615.34 MDX","1,406,636","1,168,651",17116176,,,,,
,https://bscscan.com/token/images/eos_32.png,Binance-Peg EOS Token (EOS),https://bscscan.com/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,"$1,592,817,053.46 ",,,,,50,"1,547,265,809.06 EOS","169,792","123,531",785274
51,https://bscscan.com/token/images/hookedprotocol_32.png,Hook Token (HOOK),https://bscscan.com/token/0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0,"$1,380,389,357.00 ","597,571,150.22 HOOK","2,190","1,418",6508,,,,,
,https://bscscan.com/token/images/stepngmt_32.png,Green Metaverse Token (GMT),https://bscscan.com/token/0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,"$1,328,229,163.67 ",,,,,52,"3,254,283,161.19 GMT","1,080,586","863,413",2997344
53,https://bscscan.com/token/images/usdd-tron_32.png,Decentralized USD (USDD),https://bscscan.com/token/0xd17479997f34dd9156deef8f95a52d81d265be9c,"$1,292,584,579.31 ","1,322,986,816.35 USDD","16,630","13,188",49373,,,,,
,https://bscscan.com/token/images/venus-vltc_32.png,Venus LTC (vLTC),https://bscscan.com/token/0x57a5297f2cb2c0aac9d554660acd6d385ab50c6b,"$1,266,393,907.09 ",,,,,54,"802,286,205.60 vLTC","10,053","8,127",29999
55,https://bscscan.com/token/images/cosmos_32.png,Binance-Peg Cosmos Token (ATOM),https://bscscan.com/token/0x0eb3a705fc54725037cc9e008bdede697f62f335,"$1,166,405,057.58 ","118,631,606.03 ATOM","226,284","159,724",949558,,,,,
,https://bscscan.com/token/images/btcst_32.png,StandardBTCHashrateToken (BTCST),https://bscscan.com/token/0x78650b139471520656b9e7aa7a5e9276814a38e9,"$1,130,758,462.92 ",,,,,56,"215,793,599.79 BTCST","270,349","237,973",1042832
57,https://bscscan.com/token/images/tokocrypto_32.png,Tokocrypto Token (TKO),https://bscscan.com/token/0x9f589e3eabe42ebc94a44727b3f3531c0c877809,"$1,044,158,413.93 ","2,589,261,190.36 TKO","349,347","246,738",1048786,,,,,
,https://bscscan.com/token/images/bitcoincash_32.png,Binance-Peg Bitcoin Cash Token (BCH),https://bscscan.com/token/0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,"$1,027,449,611.95 ",,,,,58,"9,188,683.19 BCH","102,843","84,379",410588
59,https://bscscan.com/token/images/anyswap_32.png,Anyswap-BEP20 (ANY),https://bscscan.com/token/0xf68c9df95a18b2a5a5fa1124d79eeeffbad0b6fa,"$993,420,617.28 ","234,473,441.98 ANY","264,115","72,959",768441,,,,,
,https://bscscan.com/token/images/BIDR-0E9_32.png,BIDR BEP20 (BIDR),https://bscscan.com/token/0x9a2f5556e9a637e8fbce886d8e3cf8b316a1d8a2,"$986,354,538.51 ",,,,,60,"14,030,587,899,493.10 BIDR","31,441","21,561",74623
61,https://bscscan.com/token/images/venus-vsxp_32.png,Venus SXP (vSXP),https://bscscan.com/token/0x2ff3d0f6990a40261c66e1ff2017acbc282eb6d0,"$975,042,540.24 ","197,419,865,354.02 vSXP","22,800","18,606",107551,,,,,
,https://bscscan.com/token/images/keep3rb_32.png,Keep3r BSC Network (KP3RB),https://bscscan.com/token/0x5ea29eee799aa7cc379fde5cf370bc24f2ea7c81,"$862,315,719.30 ",,,,,62,"5,956,658,625.63 KP3RB","24,376","18,333",133505
63,https://bscscan.com/token/images/cerbyfinance2_32.png,Cerby Token (CERBY),https://bscscan.com/token/0xdef1fac7bf08f173d286bbbdcbeeade695129840,"$855,534,203.11 ","5,288,256,911,274.70 CERBY","4,499","3,816",13853,,,,,
,https://bscscan.com/token/images/iotex_32.png,Binance-Peg IoTeX Network (IOTX),https://bscscan.com/token/0x9678e42cebeb63f23197d726b29b1cb20d0064e5,"$710,180,803.43 ",,,,,64,"31,137,409,935.88 IOTX","153,693","105,132",794296
65,https://bscscan.com/token/images/chain-bnb_32.png,Chain (XCN),https://bscscan.com/token/0x7324c7c0d95cebc73eea7e85cbaac0dbdf88a05b,"$689,841,108.21 ","16,794,298,853.17 XCN","33,465","25,465",113865,,,,,
,https://bscscan.com/token/images/okse_32.png,Okse (OKSE),https://bscscan.com/token/0x606fb7969fc1b5cad58e64b12cf827fb65ee4875,"$682,288,005.19 ",,,,,66,"4,971,277,889.29 OKSE","13,554","7,966",37172
67,https://bscscan.com/token/images/safemoon2_32.png,SafeMoon (SFM),https://bscscan.com/token/0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,"$665,114,958.25 ","2,564,842,504,443.28 SFM","1,222,451","227,867",3803116,,,,,
,https://bscscan.com/token/images/burgerswap_32.png,Burger Swap (BURGER),https://bscscan.com/token/0xae9269f27437f0fcbc232d39ec814844a51d6b8f,"$649,656,617.17 ",,,,,68,"875,432,235.45 BURGER","221,255","173,274",3650502
69,https://bscscan.com/token/images/alpha_32.png?=v5,AlphaToken (ALPHA),https://bscscan.com/token/0xa1faa113cbe53436df28ff0aee54275c13b40975,"$646,730,564.64 ","7,301,264,140.93 ALPHA","119,512","94,891",733644,,,,,
,https://bscscan.com/token/images/venus-vxvs_32.png,Venus XVS (vXVS),https://bscscan.com/token/0x151b1e2635a717bcdc836ecd6fbb62b674fe3e1d,"$646,161,488.06 ",,,,,70,"7,761,233,416.18 vXVS","125,396","63,283",282052
71,https://bscscan.com/token/images/ftm_32.png?=v2,Fantom (FTM),https://bscscan.com/token/0xad29abb318791d579433d831ed122afeaf29dcfe,"$643,937,192.31 ","2,732,669,587.64 FTM","367,193","206,091",1298986,,,,,
,https://bscscan.com/token/images/autofarm_32.png,AUTOv2 (AUTO),https://bscscan.com/token/0xa184088a740c695e156f91f5cc086a06bb78b827,"$637,287,704.47 ",,,,,72,"2,702,568.69 AUTO","862,700","475,588",7537951
73,https://bscscan.com/token/images/miota_32.png?=v1,MIOTAC (IOTA),https://bscscan.com/token/0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,"$614,823,506.35 ","2,943,697,034.64 IOTA","82,164","48,467",369141,,,,,
,https://bscscan.com/token/images/bittorrent_32.png,BitTorrent (BTT),https://bscscan.com/token/0x352cb5e19b12fc216548a2677bd0fce83bae434b,"$593,124,339.79 ",,,,,74,"864,234,794,979,139.00 BTT","93,768","54,782",191927
75,https://bscscan.com/token/images/fegtoken_32.png,FEGtoken (FEG),https://bscscan.com/token/0xacfc95585d80ab62f67a14c566c1b7a49fe91167,"$586,024,003.85 ","976,706,673,075,972,000.00 FEG","2,402,024","1,139,313",4337283,,,,,
,https://bscscan.com/token/images/vmetastudio_32.png,Virtual Meta (VMA),https://bscscan.com/token/0xcc6c9773a8a70c4642dffceb017742830aaac1a6,"$565,448,713.34 ",,,,,76,"21,169,933,546.95 VMA","1,001",585,2691
77,https://bscscan.com/token/images/ramp_32.png?v=2,RAMP DEFI (RAMP),https://bscscan.com/token/0x8519ea49c997f50ceffa444d240fb655e89248aa,"$543,576,833.36 ","7,118,979,953.91 RAMP","192,095","158,184",861008,,,,,
,https://bscscan.com/token/images/unidefdao_32.png?v=698,Unidef (U),https://bscscan.com/token/0x89db9b433fec1307d3dc8908f2813e9f7a1d38f0,"$536,361,823.82 ",,,,,78,"2,230,380,172,250.32 U","57,518","5,280",62698
79,https://bscscan.com/token/images/arenaplaycoin_32.png,ArenaPlay (APC),https://bscscan.com/token/0x2aa504586d6cab3c59fa629f74c586d78b93a025,"$535,234,840.12 ","767,176,995.54 APC","158,652","33,489",401354,,,,,
,https://bscscan.com/token/images/fcsantosfantoken_32.png,FC Santos Fan Token (SANTOS),https://bscscan.com/token/0xa64455a4553c9034236734faddaddbb64ace4cc7,"$508,373,798.54 ",,,,,80,"78,003,095.09 SANTOS","302,286","284,315",737067
81,https://bscscan.com/token/images/grovetoken_32.png,Grove Token (GVR),https://bscscan.com/token/0xafb64e73def6faa8b6ef9a6fb7312d5c4c15ebdb,"$498,191,947.73 ","622,739,934,664,557,000.00 GVR","1,241,649","47,767",1863432,,,,,
,https://bscscan.com/token/images/dodobird_32.png,DODO bird (DODO),https://bscscan.com/token/0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2,"$480,345,217.22 ",,,,,82,"3,870,474,333.96 DODO","260,986","192,751",963160
83,https://bscscan.com/token/images/terra-ust_32.png,Wrapped USTC Token (USTC),https://bscscan.com/token/0x23396cf899ca06c4472205fc903bdb4de249d6fc,"$456,473,543.95 ","18,207,953,152.89 USTC","702,720","658,034",5250539,,,,,
,https://bscscan.com/token/images/adonis_32.png,Adonis (ADON),https://bscscan.com/token/0xcd392021084683803525fe5e6c00cae9c6be5774,"$456,251,070.26 ",,,,,84,"5,617,679,429.90 ADON","1,827",539,3152
85,https://bscscan.com/token/images/alicetoken_32.png,ALICE (ALICE),https://bscscan.com/token/0xac51066d7bec65dc4589368da368b212745d63e8,"$433,987,482.57 ","331,288,154.64 ALICE","309,226","240,250",1193589,,,,,
,https://bscscan.com/token/images/axieinfinity_32.png,Binance-Peg Axie Infinity Shard Token (AXS),https://bscscan.com/token/0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"$429,296,691.27 ",,,,,86,"52,353,255.03 AXS","484,824","181,445",1711170
87,https://bscscan.com/token/images/coin98bsc_32.png,Coin98 (C98),https://bscscan.com/token/0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,"$427,418,770.72 ","1,873,216,005.44 C98","354,938","249,255",1183343,,,,,
,https://bscscan.com/token/images/elrond_32.png?v=2,Binance-Peg Elrond Token (EGLD),https://bscscan.com/token/0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe,"$426,749,972.37 ",,,,,88,"9,321,958.90 EGLD","158,733","99,431",529956
89,https://bscscan.com/token/images/apeswap_32.png?v=2,ApeSwapFinance Banana (BANANA),https://bscscan.com/token/0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,"$425,668,200.43 ","6,378,389,481.36 BANANA","2,185,225","1,826,455",19238507,,,,,
,https://bscscan.com/token/images/ethclassic_32.png?v=1,Binance-Peg Ethereum Classic (ETC),https://bscscan.com/token/0x3d6545b08693dae087e957cb1180ee38b9e3c25e,"$411,830,764.26 ",,,,,90,"21,408,151.53 ETC","102,465","58,767",392131
91,https://bscscan.com/token/images/prom_32.png,Prometeus (PROM),https://bscscan.com/token/0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,"$408,397,021.96 ","76,365,594.99 PROM","62,821","20,907",97406,,,,,
,https://bscscan.com/token/images/1inch_32.png,1INCH Token (1INCH),https://bscscan.com/token/0x111111111117dc0aa78b770fa6a738034120c302,"$391,005,011.57 ",,,,,92,"875,089,827.77 1INCH","488,825","359,166",1848378
93,https://bscscan.com/token/images/ellipsisfinance_32.png,Ellipsis (EPS),https://bscscan.com/token/0xa7f552078dcc247c2684336020c03648500c6d9f,"$372,439,781.61 ","11,125,462,986.89 EPS","630,154","562,215",2853667,,,,,
,https://bscscan.com/token/images/bandtoken_32.png,Binance-Peg Band Protocol Token (BAND),https://bscscan.com/token/0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,"$371,253,096.24 ",,,,,94,"177,083,043.15 BAND","69,389","58,503",398361
95,https://bscscan.com/token/images/qanplatform_32.png,QANX Token (QANX),https://bscscan.com/token/0xaaa7a10a8ee237ea61e8ac46c50a8db8bcc1baaa,"$366,418,306.98 ","64,930,139,260.38 QANX","149,453","98,354",444089,,,,,
,https://bscscan.com/token/images/tranchess_32.png,Chess (CHESS),https://bscscan.com/token/0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6,"$353,439,365.49 ",,,,,96,"1,684,175,401.07 CHESS","218,104","183,814",714082
97,https://bscscan.com/token/images/reeffinance_32.png,Reef.finance (REEF),https://bscscan.com/token/0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,"$353,328,673.40 ","116,858,453,233.50 REEF","442,068","289,209",1278734,,,,,
,https://bscscan.com/token/images/linear_32.png,Linear Token (LINA),https://bscscan.com/token/0x762539b45a1dcce3d36d080f74d1aed37844b878,"$349,220,605.64 ",,,,,98,"56,031,737,513.39 LINA","194,514","168,667",928607
99,https://bscscan.com/token/images/frax_32.png,Frax (FRAX),https://bscscan.com/token/0x90c97f71e18723b0cf0dfa30ee176ab653e89f40,"$347,475,441.74 ","347,128,313.43 FRAX","10,505","10,161",51254,,,,,
,https://bscscan.com/token/images/near_32.png,Binance-Peg NEAR Protocol (NEAR),https://bscscan.com/token/0x1fa4a73a3f0133f0025378af00236f3abdee5d63,"$335,751,364.30 ",,,,,100,"195,618,317.16 NEAR","163,312","104,851",834373
